Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2017,01,27,09:36:5,2017,01,27,09:36:5,,Texas Mayor: Border Wall Will Have ‘Negative Psychological Impact’ on Tourists,"The mayor of Laredo, Texas, is now calling President Donald Trump’s Executive Order to begin construction of a border wall “offensive"." Found at: http://www.breitbart.com/texas/2017/01/27/texas-mayor-border-wall-will-negative-psychological-impact-tourists/,,,,,,,
2017,01,27,08:52:1,2017,01,27,08:52:1,,'Angel' Dad: 'Trump Is Not Wasting Any Time' on Border Security,"The father of a man who was brutally shot and killed says Trump is “not wasting any time” on his promises to end illegal immigration." Found at: http://www.breitbart.com/texas/2017/01/27/angel-dad-trump-not-wasting-time-border-security/,,,,,,,
2017,01,26,14:40:2,2017,01,26,14:40:2,,Bureaucrats Gone Wild, Bring In 526 More Refugees on Thursday - Breitbart,"Bureaucrats Gone Wild, Bring In 526 More Refugees on Thursday" Found at: http://www.breitbart.com/big-government/2017/01/26/bureaucrats-import-refugees-despite-election/,,,,,,,
2017,01,26,07:03:4,2017,01,26,07:03:4,,Feds Re-investigating Refugees Who Slipped Through Vetting Cracks,"Federal authorities will re-investigate dozens of Syrian refugees with potential criminal pasts who slipped through the vetting system." Found at: http://www.breitbart.com/texas/2017/01/26/feds-re-investigating-refugees-slipped-vetting-cracks/,,,,,,,
2017,01,26,06:53:1,2017,01,26,06:53:1,,GOP’s Latest Amnesty Push Ignores Trump Mandate, Experts Say,"Leading immigration experts say Sen. Thom Tillis’ (R-NC) latest push for amnesty ignores Trump’s mandate." Found at: http://www.breitbart.com/texas/2017/01/26/gops-latest-amnesty-push-ignores-trump-mandate-experts-say/,,,,,,,
2017,01,26,06:42:4,2017,01,26,06:42:4,,Immigration Hawks Pressure Trump to End DACA,"Immigration hawks and Trump supporters have taken to social media to pressure the White House to end the DACA program." Found at: http://www.breitbart.com/texas/2017/01/26/immigration-hawks-pressure-trump-end-daca/,,,,,,,
2017,01,26,04:03:5,2017,01,26,04:03:5,,President Trump Keeps Promise to Make Sanctuary Cities Face Consequences - Breitbart,"President Trump signed an executive order that stipulates any cities that refuse to cooperate with federal immigration enforcement agents “are not eligible to receive Federal grants."" Found at: http://www.breitbart.com/big-government/2017/01/26/sanctuary-cities-fire-trump-keeps-promise/,,,,,,,
2017,01,25,14:42:2,2017,01,25,14:42:2,,Sanctuary Cities Surround Area Where Illegal Aliens Allegedly Killed Woman,"The region of Washington State where a 31-year-old woman was allegedly killed by illegal immigrants is surrounded by sanctuary jurisdictions." Found at: http://www.breitbart.com/texas/2017/01/25/sanctuary-cities-surround-area-illegal-aliens-allegedly-killed-woman/,,,,,,,
2017,01,25,13:24:0,2017,01,25,13:24:0,,Secret Service Taking 'Appropriate Action' Against Agent Who Suggested She Wouldn't Defend Trump from Bullet,"The Secret Service said it will take "appropriate action" after an agent suggested she would not protect President Trump from a bullet." Found at: http://www.breitbart.com/big-government/2017/01/25/secret-service-appropriate-action-agent-suggested-wouldnt-defend-trump-bullet/,,,,,,,
2017,01,25,09:11:2,2017,01,25,09:11:2,,Immigration Group: Wall on Southern Border Is a 'Necessity',"A leading group advocating for more security along the United States’ borders, says Trump’s promise to build a wall is a “necessity.”" Found at: http://www.breitbart.com/texas/2017/01/25/immigration-group-wall-southern-border-necessity/,,,,,,,
2017,01,24,14:01:0,2017,01,24,14:01:0,,DHS' Kelly: El Chapo Extradition 'Important Opening Salvo' for Trump Admin,"Since “El Chapo” Guzman Loera’s extradition to the United States, DHS is heralding the move as a first step in the right direction." Found at: http://www.breitbart.com/texas/2017/01/24/dhs-kelly-el-chapo-extradition-important-opening-salvo-trump-admin/,,,,,,,
2017,01,23,13:37:0,2017,01,23,13:37:0,,Burlesque Dancer Fired, Investigated by Secret Service for Trump Assassination Tweet - Breitbart,"Burlesque Dancer Fired, Investigated by Secret Service for Trump Assassination Tweet" Found at: http://www.breitbart.com/big-government/2017/01/23/burlesque-dancer-fired-investigated-by-secret-service-for-trump-assassination-tweet/,,,,,,,
2017,01,23,13:09:5,2017,01,23,13:09:5,,'Los Deplorables' Celebrate Trump's Inauguration in California - Breitbart,"'Los Deplorables' Celebrate Trump's Inauguration in California" Found at: http://www.breitbart.com/california/2017/01/23/los-deplorables-hold-inauguration-celebration-gop-is-now-the-working-class-party/,,,,,,,
2017,01,23,11:10:5,2017,01,23,11:10:5,,Trump on Letter from Obama: 'We Won't Tell the Press What's in It' - Breitbart,"Trump on Letter from Obama: 'We Won't Tell the Press What's in It'" Found at: http://www.breitbart.com/big-government/2017/01/23/trump-letter-obama-wont-tell-press-whats/,,,,,,,
2017,01,23,06:40:1,2017,01,23,06:40:1,,Migration Expert: Trump's Halt on Refugees May Be Approaching,"President Trump’s promise to halt refugee resettlement from nations compromised by Islamic terrorism may be coming sooner than expected." Found at: http://www.breitbart.com/texas/2017/01/23/migration-expert-trumps-halt-refugees-may-approaching/,,,,,,,
2017,01,23,00:01:0,2017,01,23,00:01:0,,Trump Huge Inaugural TV Ratings, but Crickets in California - Breitbart,"Trump Huge Inaugural TV Ratings, but Crickets in California" Found at: http://www.breitbart.com/california/2017/01/23/trump-huge-inaugural-tv-ratings-crickets-california/,,,,,,,
2017,01,22,12:39:3,2017,01,22,12:39:3,,In Dissent: California Republicans Love President Trump,"Some California Republicans in the deep-blue, liberal Golden State love President Donald Trump -- despite being in the minority." Found at: http://www.breitbart.com/california/2017/01/22/some-california-republicans-love-president-trump/,,,,,,,
2017,01,22,06:36:2,2017,01,22,06:36:2,,Refugee Flow From Somalia, Afghanistan Continues Into U.S.,"The federal government continued its influx of refugees just days before the new president’s Inaugural ceremony." Found at: http://www.breitbart.com/texas/2017/01/22/refugee-flow-somalia-afghanistan-continues-us/,,,,,,,
2017,02,10,21:52:4,2017,02,10,21:52:4,,All Options on the Table for Immigration Executive Order Case - Breitbart,"All Options on the Table for Immigration Executive Order Case" Found at: http://www.breitbart.com/big-government/2017/02/10/all-options-on-the-table-for-immigration-executive-order-case/,,,,,,,
2017,02,09,16:19:4,2017,02,09,16:19:4,,Ninth Circuit Claims Unprecedented Power, Affirms Ban on Immigration EO,"Ninth Circuit Claims Unprecedented Power, Affirms Ban on Immigration EO" Found at: http://www.breitbart.com/big-government/2017/02/09/ninth-circuit-claims-unprecedented-power-affirms-ban-on-immigration-eo/,,,,,,,
2017,02,09,11:10:4,2017,02,09,11:10:4,,MILO: President Trump, Here's Why You Must Cut Federal Funding From UC Berkeley - Breitbart,"We needn't use buckshot and batons to defeat violent protesters. By using federal funds, President Trump can beat them before they even begin." Found at: http://www.breitbart.com/milo/2017/02/09/president-trump-heres-why-you-must-cut-federal-funding-from-uc-berkeley/,,,,,,,
2017,02,08,12:49:4,2017,02,08,12:49:4,,Ohio City Reverses 'Sanctuary' Policy,"The City of Dayton has dropped a sanctuary policy that prohibited local law enforcement from handing over criminal illegal immigrants." Found at: http://www.breitbart.com/texas/2017/02/08/ohio-city-reverses-sanctuary-policy/,,,,,,,
2017,02,08,12:40:2,2017,02,08,12:40:2,,Immigration System Not Working for American Workers, Senator Says,"Sen. Tom Cotton (R-AR) says the U.S. legal immigration system is working against middle class Americans." Found at: http://www.breitbart.com/texas/2017/02/08/immigration-system-not-working-american-workers-senator-says/,,,,,,,
2017,02,08,06:58:0,2017,02,08,06:58:0,,Virginia Mayor Doubles Down on Sanctuary Status,"The mayor of Richmond, Virginia, is doubling down on his city’s sanctuary policy." Found at: http://www.breitbart.com/texas/2017/02/08/virginia-mayor-doubles-sanctuary-status/,,,,,,,
